#gene ID	JGI gene ID					
#polyA	Indicate if gene has polyA tail					
#ortholog_name	gene name of D. discoideum ortholog					
#annotation	gene annotation of D. discoideum ortholog					
#go_terms	"GO terms associated with gene. Biological process, Molecular Function and Cellular Component ontologies are separated by || and each term within the ontology is separated by comma."					
#domains	Protein domain identified in gene. Separated by comma.					
#percent_mapability	The percent of mapable transcript nucleotides 					
#						
gene ID	polyA	ortholog_name	annotation	go_terms	domains	percent_mapability
48822	Y	estExt_Genewise1.C_1910012			"LRR, FNIP"	2.96956
48824	Y	rsc12				32.3562
48828	Y	gefK	Ras guanine nucleotide exchange factor	guanyl-nucleotide exchange factor activity | intracellular signaling cascade | small GTPase mediated signal transduction	"RasGEF, RasGEF_N, RasGEF, RasGEFN, RASGEF_CAT, RASGEF_NTER, RASGEF"	35.0541
48839	Y	prdx5	peroxiredoxin	subtilase activity | proteolysis and peptidolysis	"AhpC-TSA, SUBTILASE_ASP"	32.3645
48841	Y	DDB_G0285739				28.8456
48847	Y	DDB_G0269572		sugar porter activity | phosphoenolpyruvate-dependent sugar phosphotransferase system	PTS_HPR_SER	34.8551
48852	Y	abcB3	ABC transporter B family protein	"nucleotide binding | ATP binding | transport | integral to membrane | ATPase activity | nucleoside-triphosphatase activity | ATPase activity, coupled to transmembrane movement of substances"	"sp_Q8T9W4_DICDI_Q8T9W4;, ABC_tran, ABC_membrane, AAA, DA_BOX, ATP_GTP_A2, ABC_TRANSPORTER_2, ABC_TRANSPORTER_1"	33.8613
48856	Y	vatM	"vacuolar ATPase transmembrane subunit, vacuolar proton ATPase 100-kDa subunit"	"hydrogen-transporting two-sector ATPase activity | proton transport | membrane | hydrogen-transporting ATP synthase activity, rotational mechanism | hydrogen-transporting ATPase activity, rotational mechanism"	V_ATPase_I	32.9953
48864	Y	DDB_G0284605	"Ca2+-ATPase, P-type ATPase"	"nucleic acid binding | catalytic activity | calcium-transporting ATPase activity | calcium ion binding | ATP binding | cation transport | calcium ion transport | metabolism | calcium ion transporter activity | ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism | proton transport | membrane | hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances"	"CATATPASE, HATPASE, E1-E2_ATPase, Cation_ATPase_C, Cation_ATPase_N, Hydrolase, ATPase-IIB_Ca, RRM_RNP_1, ATPASE_E1_E2"	34.1733
48870	Y	atp9b	"ATPase,  class II,  type 9B"	"catalytic activity | phospholipid-translocating ATPase activity | ATP binding | cation transport | metabolism | ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism | membrane | integral to membrane | ATPase activity"	"CATATPASE, Hydrolase, ATPase-Plipid, ATPASE_E1_E2"	35.1164
48877	Y	manD	alpha-mannosidase	alpha-mannosidase activity | carbohydrate metabolism	"Glyco_hydro_38, Golgi alpha-mannosidase II"	34.9469
48883	Y	sptB	serine C-palmitoyltransferase subunit	"serine C-palmitoyltransferase activity | metabolism | biosynthesis | transferase activity | transferase activity, transferring nitrogenous groups | serine C-palmitoyltransferase complex"	"Aminotran_1_2, AA_TRANSFER_CLASS_2"	29.4796
48894	Y	DDB_G0271340	acyl-CoA oxidase	acyl-CoA oxidase activity | peroxisome | electron transport | fatty acid beta-oxidation | oxidoreductase activity	"Acyl-CoA_dh, ACOX"	31.5614
48914	Y	estExt_Genewise1.C_2010026		motor activity | structural constituent of cytoskeleton | protein binding | actin filament	"ACTIN, Actin, ACTIN, ACTINS_1, ACTINS_2, ACTINS_ACT_LIKE"	3.46636
48931	Y	DDB_G0284995	"RabGAP/TBC domain-containing protein, ankyrin repeat-containing protein, putative GTPase activating protein (GAP)"		"TBC, TBC, TBC_RABGAP"	31.1956
48962	Y	mfeA	peroxisomal multifunctional enzyme MFE homolog	sterol carrier activity | metabolism | oxidoreductase activity	"SDRFAMILY, GDHRDH, adh_short, SCP2"	34.1549
48969	Y	glb2	"beta-galactosidase, glycoside hydrolase family 35 protein"	beta-galactosidase activity | carbohydrate metabolism | beta-galactosidase complex	"GLHYDRLASE35, Glyco_hydro_35, GLYCOSYL_HYDROL_F35"	34.7307
48982	Y	abcD3	ABC transporter D family protein	nucleotide binding | ATP binding | ATPase activity | nucleoside-triphosphatase activity	"sp_Q9VWC8_DROME_Q9VWC8;, ABC_tran, AAA, DA_BOX, ATP_GTP_A2, ABC_TRANSPORTER_2, ABC_TRANSPORTER_1"	34.9903
48998	Y	gcvH1	glycine cleavage system H-protein	aminomethyltransferase activity | glycine cleavage system | glycine cleavage complex | glycine catabolism	"GCV_H, gcvH"	31.965
49010	Y	gefL	Ras guanine nucleotide exchange factor	actin binding | guanyl-nucleotide exchange factor activity | intracellular signaling cascade | small GTPase mediated signal transduction | Rho GTPase binding | actin cytoskeleton organization and biogenesis	"RasGEF, RasGEF_N, Drf_GBD, RasGEF, RasGEFN, RASGEF_CAT, RASGEF_NTER"	34.269
49021	Y	psmD8-1	"26S proteasome non-ATPase regulatory subunit 8, 26S proteasome regulatory subunit S14"	proteasome regulatory particle (sensu Eukaryota) | proteolysis and peptidolysis	Nin1_C	35.0424
49032	Y	DDB_G0282429	"CAMK1 family protein kinase, protein kinase,  CAMK group, putative CAM kinase, putative myosin light chain kinase, putative protein serine/threonine kinase"	protein kinase activity | protein serine/threonine kinase activity | protein-tyrosine kinase activity | ATP binding | protein amino acid phosphorylation	"sp_Q86AD7_DICDI_Q86AD7;, Pkinase, TyrKc, S_TKc, PROTEIN_KINASE_DOM, PROTEIN_KINASE_ATP, PROTEIN_KINASE_ST"	35.1851
49047	Y	rpl12	S60 ribosomal protein L12	structural constituent of ribosome | intracellular | ribosome | protein biosynthesis	"Ribosomal_L11, Ribosomal_L11_N, RL11"	35.4409
49056	Y	roco4	"ROCO family protein kinase, leucine-rich repeat-containing protein (LRR), protein kinase,  TKL group, tyrosine kinase-like protein"	"two-component signal transduction system (phosphorelay) | DNA binding | protein kinase activity | protein serine/threonine kinase activity | protein kinase CK2 activity | cAMP-dependent protein kinase activity | protein-tyrosine kinase activity | ATP binding | cAMP-dependent protein kinase complex | protein kinase CK2 complex | regulation of transcription, DNA-dependent | protein amino acid phosphorylation | cAMP-dependent protein kinase regulator activity | protein kinase CK2 regulator activity"	"sp_Q8SSS9_DICDI_Q8SSS9;, LEURICHRPT, Pkinase, WD40, LRR, TyrKc, S_TKc, WD40, LRR_PS, LRR_TYP, PROTEIN_KINASE_DOM, WD_REPEATS_2, WD_REPEATS_REGION, PROTEIN_KINASE_ATP, PROTEIN_KINASE_TYR, SIGMA54_INTERACT_1"	34.4195
49064	Y	estExt_Genewise1.C_2130013		microtubule motor activity | ATP binding | microtubule associated complex | microtubule-based movement	"KINESINHEAVY, Kinesin, KISc, KINESIN_MOTOR_DOMAIN2, KINESIN_MOTOR_DOMAIN1"	32.4795
49072	Y	DDB_G0273451	"AAA+ ATPase,  core domain-containing protein"	"two-component signal transduction system (phosphorelay) | nucleotide binding | DNA binding | ubiquitin-protein ligase activity | regulation of transcription, DNA-dependent | nucleoside-triphosphatase activity"	"AAA, HLH_1, SIGMA54_INTERACT_1"	35.8411
4908	Y	gw1.399.1.1			Dicty_REP	28.8742
49097	Y	thyB	"calmodulin-binding protein, thymidine kinase"	thymidine kinase activity | ATP binding	"TK, TK_CELLULAR_TYPE"	31.5118
49103	Y	DDB_G0290325		calcium ion binding	EF_HAND	34.7769
49124	Y	DDB_G0285401				32.7783
49129	Y	psmA5	"20S proteasome subunit alpha-5, proteasome subunit alpha type 5"	endopeptidase activity | threonine endopeptidase activity | proteasome endopeptidase activity | proteasome core complex (sensu Eukaryota) | ubiquitin-dependent protein catabolism	"Proteasome, PROTEASOME_PROTEASE, PROTEASOME_A"	33.6588
49131	Y	estExt_Genewise1.C_2170009		"rRNA (adenine-N6,N6-)-dimethyltransferase activity | C-terminal protein carboxyl methyltransferase activity | methyltransferase activity | C-methyltransferase activity | N-methyltransferase activity | O-methyltransferase activity | S-methyltransferase activity | RNA methyltransferase activity | mRNA methyltransferase activity | tRNA methyltransferase activity | protein methyltransferase activity | site-specific DNA-methyltransferase (cytosine-specific) activity | 2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity | rRNA methyltransferase activity | rRNA (uridine-2'-O-)-methyltransferase activity | S-adenosylmethionine-dependent methyltransferase activity | DNA-methyltransferase activity | rRNA (cytosine-C5-967)-methyltransferase activity | selenocysteine methyltransferase activity | arginine N-methyltransferase activity | protein-arginine N-methyltransferase activity | lysine N-methyltransferase activity | protein-lysine N-methyltransferase activity | tRNA (uracil) methyltransferase activity |"	SAM_BIND	35.9639
49138	Y	DDB_G0291402			"ANKYRIN, Ank, ANK, ANK_REPEAT, ANK_REP_REGION"	33.3197
49154	Y	psiI	PA14 domain-containing protein		Dicty_CTDC	22.4152
49156	Y	DDB_G0289233	Expressed protein.	protein kinase activity | protein kinase CK2 activity | cAMP-dependent protein kinase activity | cAMP-dependent protein kinase complex | protein kinase CK2 complex | cAMP-dependent protein kinase regulator activity | protein kinase CK2 regulator activity		34.8411
49160	Y	modA	alpha-glucosidase II	"hydrolase activity, hydrolyzing O-glycosyl compounds | carbohydrate metabolism | phosphopantetheine binding"	"Glyco_hydro_31, PHOSPHOPANTETHEINE"	33.7285
49164	Y	fuk	Q8N0W3 L-fucose kinase (EC 2.7.1.52) (Fucokinase).	"DNA binding | ATP binding | nucleus | cytoplasm | metabolism | kinase activity | phosphorylation | phosphotransferase activity, alcohol group as acceptor | fucokinase activity"	"MEVGALKINASE, LMBPPROTEIN, GHMP_kinases, MYB_1"	35.7766
49171	Y	DDB_G0281473		hydrolase activity	"Metallophos, PHOSPHO_ESTER"	33.4229
49184	Y	dagA	"PH domain-containing protein, cytosolic regulator of adenylate cyclase, cytosolic regulator of adenylyl cyclase"		"PH, PH, PH_DOMAIN"	30.5412
49207	Y	tcp1	"chaperonin containing TCP1 alpha subunit, t-complex polypeptide 1"	chaperonin ATPase activity | protein binding | ATP binding | cellular protein metabolism	"CHAPERONIN60, TCOMPLEXTCP1, Cpn60_TCP1, TCP1_1, TCP1_2, TCP1_3"	34.5029
49251	Y	ileS	"isoleucine-tRNA ligase, isoleucyl-tRNA synthetase"	tRNA ligase activity | isoleucine-tRNA ligase activity | ATP binding | tRNA aminoacylation for protein translation | isoleucyl-tRNA aminoacylation	"TRNASYNTHILE, tRNA-synt_1, ileS, AA_TRNA_LIGASE_I"	34.8599
49264	Y	DDB_G0276663	"Q9FY46 Sulfate transporter 4.1,  chloroplast precursor (AST82)."	sulfate porter activity | sulfate transport | membrane	"Sulfate_transp, STAS, sulP, STAS"	33.8218
4927	Y	gnrA	gelsolin-related protein	actin binding | amino acid metabolism | carboxy-lyase activity	"GELSOLIN, Gelsolin, GEL, GELS, DDC_GAD_HDC_YDC"	35.31
4928	Y	DDB_G0283397	"CZAK family protein kinase, WD-40 repeat-containing protein, protein kinase,  TKL group, tyrosine kinase-like protein"	protein kinase activity | protein serine/threonine kinase activity | protein-tyrosine kinase activity | ATP binding | protein amino acid phosphorylation	"sp_KYK1_DICDI_P18160;, TYRKINASE, GPROTEINBRPT, Pkinase, WD40, TyrKc, S_TKc, WD40, PROTEIN_KINASE_DOM, WD_REPEATS_2, WD_REPEATS_REGION, PROTEIN_KINASE_ATP, PROTEIN_KINASE_TYR, WD_REPEATS_1"	33.6056
49280	Y	DDB_G0279941	Gll1113 protein.			34.6743
49298	Y	rnrA	"ribonucleoside-diphosphate reductase, ribonucleotide reductase large subunit"	ribonucleoside-diphosphate reductase activity | ribonucleoside-diphosphate reductase complex | DNA replication	"RIBORDTASEM1, Ribonuc_red_lgN, Ribonuc_red_lgC, ATP-cone"	32.2748
49312	Y	tor	"FRAP subfamily protein kinase, PIKK family protein kinase, phosphatidylinositol 3-kinase-related protein kinase, protein kinase,  Atypical group"	"1-phosphatidylinositol 3-kinase | phosphatidylinositol 3-kinase, class I, catalyst activity | phosphatidylinositol 3-kinase, class I, regulator activity | phosphatidylinositol 3-kinase activity | phosphotransferase activity, alcohol group as acceptor"	"PI3_PI4_kinase, FAT, FATC, PI3Kc, HEAT_REPEAT, PI3_4_KINASE_3, PI3_4_KINASE_1, PI3_4_KINASE_2"	35.4595
49318	Y	DDB_G0288235	Similar to Dictyostelium discoideum (Slime mold). hypothetical 97.7 kDa protein.		FNIP	25.4242
49330	Y	estExt_Genewise1.C_2330027		catalytic activity | aromatic compound metabolism | hydrolase activity	"ABHYDROLASE, Abhydrolase_1, ESTERASE"	29.9922
49331	Y	trxE	thioredoxin	thioredoxin-disulfide reductase activity | electron transporter activity | electron transport	"THIOREDOXIN, Thioredoxin, THIOREDOXIN_2, THIOREDOXIN"	5.96214
49338	Y	DDB_G0279011	thioredoxin domain-containing protein			25.1936
49348	Y	DDB_G0280461	"LISK family protein kinase, protein kinase,  TKL group, tyrosine kinase-like protein"	protein kinase activity | protein serine/threonine kinase activity | protein-tyrosine kinase activity | ATP binding | protein amino acid phosphorylation	"sp_Q23915_DICDI_Q23915;, TYRKINASE, Pkinase, TyrKc, S_TKc, PROTEIN_KINASE_DOM, PROTEIN_KINASE_ST"	27.0066
49369	Y	estExt_Genewise1.C_2370009		zinc ion binding	"MATH, zf-TRAF, MATH, ZF_TRAF"	33.5901
49377	Y	DDB_G0286765	"AAA ATPase domain-containing protein, BCS1-like protein"	nucleotide binding | ATP binding | nucleoside-triphosphatase activity	"AAA, AAA"	34.3962
49381	Y	DDB_G0286315	transmembrane protein			34.0072
49392	Y	captC	CDP-alcohol phosphatidyltransferase	ethanolaminephosphotransferase activity | phospholipid biosynthesis	"CDP-OH_P_transf, CDP_ALCOHOL_P_TRANS_2, CDP_ALCOHOL_P_TRANSF"	34.2651
49396	Y	valS1	"valine-tRNA ligase, valyl tRNA synthetase"	tRNA ligase activity | valine-tRNA ligase activity | ATP binding | tRNA aminoacylation for protein translation | valyl-tRNA aminoacylation	"TRNASYNTHVAL, tRNA-synt_1, valS, AA_TRNA_LIGASE_I"	33.3457
49409	Y	serS	"serine-tRNA ligase, seryl-tRNA synthetase"	tRNA ligase activity | serine-tRNA ligase activity | ATP binding | tRNA aminoacylation for protein translation | seryl-tRNA aminoacylation	"TRNASYNTHSER, tRNA-synt_2b, Seryl_tRNA_N, serS, AA_TRNA_LIGASE_II"	32.3222
49420	Y	estExt_Genewise1.C_2410001		membrane alanyl aminopeptidase activity | proteolysis and peptidolysis | cytosol alanyl aminopeptidase activity	"ALADIPTASE, Peptidase_M1"	35.832
49425	Y	rpl3	60S ribosomal protein L3	structural constituent of ribosome | intracellular | ribosome | protein biosynthesis	"sp_RL3_ORYSA_P35684;, Ribosomal_L3, LIPOYL, RIBOSOMAL_L3"	35.222
49487	Y	fba	"fructose 1, 6-bisphosphate aldolase, fructose-bisphosphate aldolase"	fructose-bisphosphate aldolase activity | glycolysis	"sp_Q86A67_DICDI_Q86A67;, Glycolytic, ALDOLASE_CLASS_I"	33.9557
49513	Y	DDB_G0270352	Probable acyl-CoA dehydrogenase (EC 1.3.99.-).	acyl-CoA dehydrogenase activity | electron transport | oxidoreductase activity	"Acyl-CoA_dh, ACYL_COA_DH_2"	33.3921
49516	Y	DDB_G0277165	"BRSK subfamily protein kinase, CAMKL family protein kinase, protein kinase,  CAMK group, putative CAM kinase, putative protein serine/threonine kinase"	protein kinase activity | protein serine/threonine kinase activity | transmembrane receptor protein serine/threonine kinase activity | 3-phosphoinositide-dependent protein kinase activity | DNA-dependent protein kinase activity | AMP-activated protein kinase activity | casein kinase activity | casein kinase I activity | calmodulin regulated protein kinase activity | eukaryotic elongation factor-2 kinase activity | multifunctional calcium- and calmodulin-regulated protein kinase activity | phosphorylase kinase activity | cyclic nucleotide-dependent protein kinase activity | cGMP-dependent protein kinase activity | cyclin-dependent protein kinase activity | eukaryotic translation initiation factor 2alpha kinase activity | galactosyltransferase-associated kinase activity | glycogen synthase kinase 3 activity | protein kinase C activity | calcium-dependent protein kinase C activity | atypical protein kinase C activity | diacylglycerol-activated phospholipid-dependent protein kinase C activity | receptor signaling	"sp_Q8SSX5_DICDI_Q8SSX5;, TYRKINASE, Pkinase, TyrKc, S_TKc, PROTEIN_KINASE_DOM, PROTEIN_KINASE_ST"	30.4046
49534	Y	miox	"inositol oxygenase, myo-inositol oxygenase"	inositol oxygenase activity	DUF706	35.3577
49561	Y	copB2	"WD40 repeat-containing protein, coatomer protein complex beta 2 subunit (beta prime)"	intracellular protein transport | protein transporter activity	"sp_Q9C827_ARATH_Q9C827;, GPROTEINBRPT, C2DOMAIN, WD40, Coatomer_WDAD, WD40, WD_REPEATS_2, WD_REPEATS_REGION"	34.3638
49566	Y	efa1G	"elongation factor 1 gamma, elongation factor 1g, glutathione S-transferase domain-containing protein"	translation elongation factor activity | glutathione transferase activity | eukaryotic translation elongation factor 1 complex | translational elongation	"sp_Q8I4K9_CAEEL_Q8I4K9;, GST_C, EF1G, GST_N, EF1G, GST_N, GST_C"	5.57064
49581	Y	DDB_G0288039			"NUDIXFAMILY, NUDIX, NUDIX"	26.2082
49582	Y	rgaA	"IQGAP-related protein, RasGTPase-activating protein"	Ras GTPase activator activity | small GTPase mediated signal transduction	"sp_P90531_DICDI_P90531;, RasGAP, RasGAP_C, RasGAP, RAS_GTPASE_ACTIV_2, RASGAP_CTERM"	32.7233
49593	Y	manA	alpha-mannosidase	alpha-mannosidase activity | carbohydrate metabolism	Glyco_hydro_38	33.8978
49599	Y	tipA	"protein phosphatase 2C-like domain-containing protein, winged helix repressor DNA-binding domain-containing protein"	catalytic activity	"PP2Cc, Protein serine/threonine phosphatase 2C, catalytic domain"	29.968
49610	Y	snd1	"Staphylococcus nuclease (SNase-like) domain-containing protein, tudor domain-containing protein"	nucleic acid binding | nuclease activity | electron transport | membrane | oxidoreductase activity	"sp_Q9W0S7_DROME_Q9W0S7;, SNase, TUDOR, SNc, TUDOR, TNASE_3, CYTOCHROME_B_HEME"	34.2773
49625	Y	bkdA	"3-methyl-2-oxobutanoate dehydrogenase (lipoamide), branched-chain alpha-keto acid dehydrogenase E1 alpha chain"	"3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity | metabolism | oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor | 3-methyl-2-oxobutanoate dehydrogenase (lipoamide) complex"	E1_dh	33.506
49642	Y	DDB_G0282605	"Rho GTPase domain containing protein, leucine-rich repeat-containing protein (LRR)"	GTP binding | small GTPase mediated signal transduction	"LEURICHRPT, RHO, LRR_RI, LRR_RI"	31.0707
49657	Y	DDB_G0268028	unknown		"Bactericidal permeability-increasing protein, BPI"	32.3912
49665	Y	metap1	methionine aminopeptidase 1	methionyl aminopeptidase activity | proteolysis and peptidolysis | metalloexopeptidase activity	"MAPEPTIDASE, Peptidase_M24, met_pdase_I, MAP_1"	34.9133
49670	Y	DDB_G0279053	5'-nucleotidase	5'-nucleotidase activity | IMP-GMP specific 5'-nucleotidase activity	5_nucleotid	35.6261
